time; gt_x; gt_y; gt_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; right_enc; left_enc; compass; ds_id; ds_range; wall_x; wall_y
0.016; 0.459923; -1.45899e-06; -0.261795; 0; 0; 0; 0; 0; 0; 0; 0; -0.308486; 7; 0.0116101; 1000; 1000
0.032; 0.459923; -1.44222e-06; -0.261798; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0113949; 1000; 1000
0.048; 0.459923; -1.44725e-06; -0.261798; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0123735; 1000; 1000
0.064; 0.459923; -1.44923e-06; -0.261799; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0136995; 1000; 1000
0.08; 0.459923; -1.45057e-06; -0.261799; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0116604; 1000; 1000
0.096; 0.459923; -1.45158e-06; -0.261799; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0107903; 1000; 1000
0.112; 0.459923; -1.45235e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0105283; 1000; 1000
0.128; 0.459923; -1.45292e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0117988; 1000; 1000
0.144; 0.459923; -1.45335e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0111827; 1000; 1000
0.16; 0.459923; -1.45367e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0104735; 1000; 1000
0.176; 0.459923; -1.4539e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0113577; 1000; 1000
0.192; 0.459923; -1.45408e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0127582; 1000; 1000
0.208; 0.459923; -1.45422e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0117414; 1000; 1000
0.224; 0.459923; -1.45433e-06; -0.2618; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0111803; 1000; 1000
0.24; 0.459923; -1.45442e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0108777; 1000; 1000
0.256; 0.459923; -1.45449e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0123016; 1000; 1000
0.272; 0.459923; -1.45455e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0106377; 1000; 1000
0.288; 0.459923; -1.45459e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0112066; 1000; 1000
0.304; 0.459923; -1.45463e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.012475; 1000; 1000
0.32; 0.459923; -1.45466e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0105534; 1000; 1000
0.336; 0.459923; -1.45468e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0109849; 1000; 1000
0.352; 0.459923; -1.4547e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0123691; 1000; 1000
0.368; 0.459923; -1.45471e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.00958755; 1000; 1000
0.384; 0.459923; -1.45472e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0114992; 1000; 1000
0.4; 0.459923; -1.45473e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0123405; 1000; 1000
0.416; 0.459923; -1.45474e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0120852; 1000; 1000
0.432; 0.459923; -1.45475e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0125923; 1000; 1000
0.448; 0.459923; -1.45476e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.00995714; 1000; 1000
0.464; 0.459923; -1.45476e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0124205; 1000; 1000
0.48; 0.459923; -1.45477e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0121479; 1000; 1000
0.496; 0.459923; -1.45477e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0128077; 1000; 1000
0.512; 0.459923; -1.45478e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0133553; 1000; 1000
0.528; 0.459923; -1.45479e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0110517; 1000; 1000
0.544; 0.459923; -1.45479e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0112987; 1000; 1000
0.56; 0.459923; -1.4548e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0148253; 1000; 1000
0.576; 0.459923; -1.45481e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0116413; 1000; 1000
0.592; 0.459923; -1.45482e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0113099; 1000; 1000
0.608; 0.459923; -1.45483e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0103668; 1000; 1000
0.624; 0.459923; -1.45483e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0124304; 1000; 1000
0.64; 0.459923; -1.45484e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0121153; 1000; 1000
0.656; 0.459923; -1.45485e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0108768; 1000; 1000
0.672; 0.459923; -1.45485e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0125652; 1000; 1000
0.688; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0126698; 1000; 1000
0.704; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0127743; 1000; 1000
0.72; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0120752; 1000; 1000
0.736; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0109512; 1000; 1000
0.752; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0118666; 1000; 1000
0.768; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.00957543; 1000; 1000
0.784; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.013124; 1000; 1000
0.8; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0117467; 1000; 1000
0.816; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0112439; 1000; 1000
0.832; 0.459923; -1.45487e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0112669; 1000; 1000
0.848; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0119402; 1000; 1000
0.864; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0111989; 1000; 1000
0.88; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0120176; 1000; 1000
0.896; 0.459923; -1.45486e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0110447; 1000; 1000
0.912; 0.459923; -1.45485e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.00987642; 1000; 1000
0.928; 0.459923; -1.45485e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0124255; 1000; 1000
0.944; 0.459923; -1.45484e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0113684; 1000; 1000
0.96; 0.459923; -1.45484e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0123965; 1000; 1000
0.976; 0.459923; -1.45483e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0125599; 1000; 1000
0.992; 0.459923; -1.45482e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; 1000; 7; 0.0124044; 1000; 1000
1.008; 0.459923; -1.45482e-06; -0.261801; 0; 0; 0; 0; 0; 0; 0; 0; -0.310284; 7; 0.0102135; 1000; 1000
